1,2929.00,2021/08/31,
1,2928.00,2021/09/01,
1,2930.00,2021/09/01,
2,826.00,2021/09/01,
2,826.00,2021/09/01,
1,2931.00,2021/09/03,
1,2932.00,2021/09/08,
3,389.00,2021/09/08,
3,390.00,2021/09/08,
2,817.00,2021/09/09,
2,827.00,2021/09/09,
2,873.00,2021/09/09,
2,817.00,2021/09/09,
2,827.00,2021/09/09,
2,873.00,2021/09/09,
2,819.00,2021/09/10,
2,824.00,2021/09/10,
2,819.00,2021/09/10,
2,824.00,2021/09/10,
1,2933.00,2021/09/13,
1,2934.00,2021/09/13,
3,391.00,2021/09/13,
3,392.00,2021/09/13,
1,2935.00,2021/09/14,
1,2936.00,2021/09/14,
1,2937.00,2021/09/16,
2,829.00,2021/09/16,
2,830.00,2021/09/16,
2,829.00,2021/09/16,
2,830.00,2021/09/16,
1,2938.00,2021/09/20,
1,2939.00,2021/09/20,
1,2940.00,2021/09/20,
1,2941.00,2021/09/22,
1,2942.00,2021/09/23,
1,2944.00,2021/09/23,
2,831.00,2021/09/23,
2,831.00,2021/09/23,
1,2943.00,2021/09/24,
1,2945.00,2021/09/28,
1,2946.00,2021/09/28,
3,393.00,2021/09/28,
2,833.00,2021/10/04,
2,833.00,2021/10/04,
2,828.00,2021/10/07,
2,828.00,2021/10/07,
1,3011.00,2021/10/08,
1,2992.00,2021/10/13,
1,3024.00,2021/10/13,
1,3025.00,2021/10/13,
1,3026.00,2021/10/13,
2,837.00,2021/10/13,
2,837.00,2021/10/13,
1,3044.00,2021/10/14,
1,3050.00,2021/10/14,
1,3054.00,2021/10/14,
1,3055.00,2021/10/14,
2,834.00,2021/10/15,
2,838.00,2021/10/15,
2,834.00,2021/10/15,
2,838.00,2021/10/15,
1,3083.00,2021/10/18,
2,835.00,2021/10/18,
2,835.00,2021/10/18,
1,3141.00,2021/10/21,
1,3144.00,2021/10/21,
1,3151.00,2021/10/22,
2,839.00,2021/10/22,
2,841.00,2021/10/22,
2,839.00,2021/10/22,
2,841.00,2021/10/22,
1,3156.00,2021/10/25,
1,3157.00,2021/10/25,
1,3160.00,2021/10/25,
1,3162.00,2021/10/25,
3,394.00,2021/10/25,
1,3176.00,2021/10/27,
2,843.00,2021/10/27,
2,843.00,2021/10/27,
1,3193.00,2021/10/28,
1,3212.00,2021/10/29,
1,3230.00,2021/11/03,
1,3235.00,2021/11/03,
1,3236.00,2021/11/04,
2,844.00,2021/11/05,
2,844.00,2021/11/05,
1,3238.00,2021/11/08,
3,396.00,2021/11/08,
1,3239.00,2021/11/10,
1,3242.00,2021/11/10,
1,3243.00,2021/11/11,
1,3244.00,2021/11/11,
3,398.00,2021/11/12,
1,3245.00,2021/11/16,
1,3246.00,2021/11/17,
1,3247.00,2021/11/22,
3,399.00,2021/11/22,
1,3248.00,2021/11/26,
2,842.00,2021/11/26,
2,849.00,2021/11/26,
2,842.00,2021/11/26,
2,849.00,2021/11/26,
1,3249.00,2021/11/29,
1,2648.00,2021/11/30,
1,3250.00,2021/11/30,
3,400.00,2021/12/01,
3,401.00,2021/12/02,
1,3252.00,2021/12/03,
2,848.00,2021/12/03,
2,861.00,2021/12/03,
2,848.00,2021/12/03,
2,861.00,2021/12/03,
2,847.00,2021/12/06,
2,847.00,2021/12/06,
3,402.00,2021/12/07,
1,3253.00,2021/12/08,
1,3254.00,2021/12/08,
2,864.00,2021/12/09,
2,864.00,2021/12/09,
3,403.00,2021/12/09,
3,404.00,2021/12/09,
1,3255.00,2021/12/10,
1,3256.00,2021/12/10,
2,840.00,2021/12/10,
2,863.00,2021/12/10,
2,840.00,2021/12/10,
2,863.00,2021/12/10,
1,3257.00,2021/12/13,
1,3258.00,2021/12/13,
3,405.00,2021/12/13,
1,3259.00,2021/12/14,
1,3260.00,2021/12/16,
2,862.00,2021/12/16,
2,862.00,2021/12/16,
2,845.00,2021/12/17,
2,866.00,2021/12/17,
2,845.00,2021/12/17,
2,866.00,2021/12/17,
1,3261.00,2021/12/20,
1,3262.00,2021/12/20,
1,3263.00,2021/12/21,
1,3264.00,2021/12/22,
1,3265.00,2021/12/27,
1,3266.00,2021/12/28,
1,3267.00,2021/12/29,
1,3268.00,2022/01/04,
1,3269.00,2022/01/05,
1,3270.00,2022/01/05,
1,3271.00,2022/01/07,
1,3272.00,2022/01/11,
1,3273.00,2022/01/11,
1,3274.00,2022/01/12,
1,3275.00,2022/01/14,
1,3276.00,2022/01/17,
3,406.00,2022/01/17,
1,3277.00,2022/01/19,
3,407.00,2022/01/19,
1,3278.00,2022/01/20,
1,3279.00,2022/01/20,
1,3280.00,2022/01/21,
2,865.00,2022/01/21,
2,865.00,2022/01/21,
3,408.00,2022/01/21,
1,3281.00,2022/01/25,
1,3282.00,2022/01/26,
1,3283.00,2022/01/26,
1,3285.00,2022/01/26,
3,409.00,2022/01/27,
1,3287.00,2022/02/02,
1,3289.00,2022/02/02,
1,3300.00,2022/02/02,
2,869.00,2022/02/02,
2,869.00,2022/02/02,
1,3290.00,2022/02/03,
3,410.00,2022/02/03,
1,3291.00,2022/02/07,
1,3292.00,2022/02/07,
1,3293.00,2022/02/08,
2,868.00,2022/02/10,
2,868.00,2022/02/10,
1,3294.00,2022/02/11,
2,867.00,2022/02/11,
2,867.00,2022/02/11,
1,3298.00,2022/02/14,
1,3299.00,2022/02/15,
1,3301.00,2022/02/17,
1,3302.00,2022/02/21,
1,3303.00,2022/02/21,
1,3304.00,2022/02/21,
1,3305.00,2022/02/22,
1,3306.00,2022/02/23,
1,3307.00,2022/02/25,
1,3310.00,2022/03/03,
1,3311.00,2022/03/03,
1,3312.00,2022/03/03,
1,3313.00,2022/03/03,
1,3314.00,2022/03/03,
1,3315.00,2022/03/03,
1,3316.00,2022/03/03,
1,3317.00,2022/03/03,
1,3318.00,2022/03/08,
3,411.00,2022/03/08,
1,3319.00,2022/03/09,
1,3320.00,2022/03/10,
3,412.00,2022/03/10,
1,3321.00,2022/03/11,
1,3322.00,2022/03/14,
1,3323.00,2022/03/14,
1,3324.00,2022/03/14,
1,3325.00,2022/03/14,
3,413.00,2022/03/14,
1,3326.00,2022/03/15,
3,414.00,2022/03/15,
1,3328.00,2022/03/18,
2,871.00,2022/03/18,
2,871.00,2022/03/18,
1,3329.00,2022/03/28,
1,3330.00,2022/03/29,
3,415.00,2022/03/29,
1,3338.00,2022/03/30,
1,3339.00,2022/04/04,
1,3340.00,2022/04/04,
1,3341.00,2022/04/04,
1,3342.00,2022/04/04,
3,416.00,2022/04/04,
1,3343.00,2022/04/05,
1,3344.00,2022/04/05,
1,3346.00,2022/04/06,
1,3347.00,2022/04/07,
2,874.00,2022/04/08,
2,875.00,2022/04/08,
2,876.00,2022/04/08,
2,874.00,2022/04/08,
2,875.00,2022/04/08,
2,876.00,2022/04/08,
1,3348.00,2022/04/11,
1,3349.00,2022/04/13,
1,3350.00,2022/04/13,
1,3351.00,2022/04/14,
3,417.00,2022/04/14,
1,3352.00,2022/04/18,
1,3353.00,2022/04/18,
1,3354.00,2022/04/18,
3,418.00,2022/04/18,
1,3355.00,2022/04/19,
1,3356.00,2022/04/19,
1,3358.00,2022/04/19,
1,3359.00,2022/04/20,
1,3360.00,2022/04/20,
2,880.00,2022/04/25,
2,880.00,2022/04/25,
1,3362.00,2022/04/26,
2,882.00,2022/04/26,
2,882.00,2022/04/26,
2,879.00,2022/04/28,
2,879.00,2022/04/28,
2,878.00,2022/04/29,
2,878.00,2022/04/29,
1,3363.00,2022/05/02,
1,3364.00,2022/05/02,
1,3365.00,2022/05/02,
1,3366.00,2022/05/03,
1,3367.00,2022/05/04,
1,3368.00,2022/05/05,
2,877.00,2022/05/06,
2,877.00,2022/05/06,
3,419.00,2022/05/06,
1,3369.00,2022/05/09,
3,420.00,2022/05/11,
1,3370.00,2022/05/12,
1,3371.00,2022/05/12,
1,3372.00,2022/05/13,
1,3374.00,2022/05/17,
1,3375.00,2022/05/19,
1,3377.00,2022/05/24,
1,3378.00,2022/05/25,
1,3379.00,2022/05/27,
2,881.00,2022/05/27,
2,883.00,2022/05/27,
2,881.00,2022/05/27,
2,883.00,2022/05/27,
1,3380.00,2022/05/30,
3,421.00,2022/05/30,
1,3381.00,2022/05/31,
1,3382.00,2022/06/02,
1,3383.00,2022/06/02,
1,3384.00,2022/06/02,
3,422.00,2022/06/02,
2,884.00,2022/06/03,
2,884.00,2022/06/03,
1,3385.00,2022/06/06,
1,3386.00,2022/06/06,
1,3387.00,2022/06/06,
3,423.00,2022/06/06,
1,3389.00,2022/06/07,
1,3390.00,2022/06/08,
2,885.00,2022/06/08,
2,885.00,2022/06/08,
3,424.00,2022/06/09,
2,886.00,2022/06/10,
2,886.00,2022/06/10,
1,3391.00,2022/06/14,
1,3392.00,2022/06/14,
1,3394.00,2022/06/14,
1,3395.00,2022/06/14,
1,3396.00,2022/06/14,
3,426.00,2022/06/14,
1,3399.00,2022/06/15,
1,3400.00,2022/06/20,
1,3401.00,2022/06/20,
1,3402.00,2022/06/20,
1,3403.00,2022/06/20,
2,888.00,2022/06/20,
2,888.00,2022/06/20,
1,3404.00,2022/06/21,
1,3405.00,2022/06/22,
1,3406.00,2022/06/22,
2,887.00,2022/06/24,
2,887.00,2022/06/24,
